Date,HashRate,ActiveAddresses,TxVolumeUSD
2018-01-02,,850802.0,
2018-01-04,16127548.7258182,,3959988059.41157
2018-01-06,,889099.0,
2018-01-08,15935554.0981299,,4095843401.55246
2018-01-10,,876990.0,
2018-01-12,17087521.8642597,,3201370800.58497
2018-01-14,,592042.0,
2018-01-16,17608758.1817911,,3280040384.20681
2018-01-18,,744190.0,
2018-01-20,19712949.4110618,,2591920373.50638
2018-01-22,,574421.0,
2018-01-24,19491455.5974543,,2043489449.82019
2018-01-26,,514622.0,
2018-01-28,20445148.5647756,,1946407701.49201
2018-01-30,,531441.0,
2018-02-01,20703947.9136968,,2614260637.5456
2018-02-03,,436197.0,
2018-02-05,23938939.775212,,1950770956.61802
2018-02-07,,489403.0,
2018-02-09,19291612.224166,,1627521235.26492
2018-02-11,,368625.0,
2018-02-13,23435736.3315795,,1266134857.40392
2018-02-15,,475030.0,
2018-02-17,21292223.8622277,,862408575.113852
2018-02-19,,436342.0,
2018-02-21,25265138.8267172,,1582027830.28817
2018-02-23,,424503.0,
2018-02-25,25564134.5524772,,735383768.774946
2018-02-27,,494788.0,
2018-03-01,24667147.3751973,,2017041859.63693
2018-03-03,,416967.0,
2018-03-05,24372959.7309369,,1573034810.84033
2018-03-07,,474917.0,
2018-03-09,23882228.9980992,,1845969389.06628
2018-03-11,,349041.0,
2018-03-13,25845151.9294498,,1429321787.63685
2018-03-15,,459150.0,
2018-03-17,24372959.7309369,,709540062.340732
2018-03-19,,421648.0,
2018-03-21,26162835.2122593,,1045367812.30046
2018-03-23,,430897.0,
2018-03-25,23236728.6424672,,901137748.465333
2018-03-27,,414091.0,
2018-03-29,26162835.2122593,,1120831366.94695
2018-03-31,,332753.0,
2018-04-02,27227579.6162083,,768333587.034114
2018-04-04,,432978.0,
2018-04-06,24085935.8143381,,720018556.313689
2018-04-08,,311300.0,
2018-04-10,28623865.7503728,,812498863.15906
2018-04-12,,442158.0,
2018-04-14,26146926.5194725,,516931824.839407
2018-04-16,,433712.0,
2018-04-18,30536556.519092,,826568991.032139
2018-04-20,,509923.0,
2018-04-22,30536556.519092,,674296002.598428
2018-04-24,,548252.0,
2018-04-26,26910340.4324498,,1356669104.25048
2018-04-28,,429929.0,
2018-04-30,30990335.3016848,,1039280676.98002
2018-05-02,,468951.0,
2018-05-04,27591395.3008549,,1424167444.69354
2018-05-06,,386315.0,
2018-05-08,27791332.9479625,,1305599529.85642
2018-05-10,,465046.0,
2018-05-12,33988897.1882526,,914542131.232237
2018-05-14,,469798.0,
2018-05-16,36872803.6163467,,1354020052.00064
2018-05-18,,499648.0,
2018-05-20,29663037.5461113,,505408446.545892
2018-05-22,,441616.0,
2018-05-24,30616246.3183454,,997838496.239073
2018-05-26,,356716.0,
2018-05-28,33399541.438195,,1030143175.61157
2018-05-30,,443065.0,
2018-06-01,35540537.6842331,,860640929.266263
2018-06-03,,369975.0,
2018-06-05,42980660.1034435,,753456738.768419
2018-06-07,,433804.0,
2018-06-09,35121339.3988139,,512776472.436823
2018-06-11,,446188.0,
2018-06-13,35121339.3988139,,1043117695.00437
2018-06-15,,476263.0,
2018-06-17,38559792.2070893,,432811187.163212
2018-06-19,,413610.0,
2018-06-21,42908653.8315633,,719955333.674926
2018-06-23,,368137.0,
2018-06-25,39627403.832679,,683034898.67434
2018-06-27,,397242.0,
2018-06-29,38112980.7562709,,653028973.089305
2018-07-01,,341862.0,
2018-07-03,30929068.6931155,,880290625.530195
2018-07-05,,413998.0,
2018-07-07,41594264.7941898,,370270464.469499
2018-07-09,,425385.0,
2018-07-11,35995036.8411258,,705107105.975675
2018-07-13,,473175.0,
2018-07-15,35461777.0360721,,356017920.508622
2018-07-17,,487160.0,
2018-07-19,44021066.1135111,,993456134.043958
2018-07-21,,385950.0,
2018-07-23,42733900.4376774,,936055626.253313
2018-07-25,,525952.0,
2018-07-27,42991333.5728441,,884506563.824998
2018-07-29,,380501.0,
2018-07-31,43474975.9754299,,916151854.706209
2018-08-02,,470017.0,
2018-08-04,52051671.9161698,,478730381.400988
2018-08-06,,452410.0,
2018-08-08,46432457.3343105,,786985499.891174
2018-08-10,,510030.0,
2018-08-12,49230273.0794216,,333729799.273728
2018-08-14,,514445.0,
2018-08-16,50183117.0745072,,687000468.616544
2018-08-18,,399289.0,
2018-08-20,47642199.754279,,647035144.277823
2018-08-22,,484463.0,
2018-08-24,47211617.4407006,,660537345.458553
2018-08-26,,368938.0,
2018-08-28,51165065.369764,,977831328.38873
2018-08-30,,463657.0,
2018-09-01,50496240.9858456,,530711688.309403
2018-09-03,,455957.0,
2018-09-05,44142409.33862,,945103849.443573
2018-09-07,,539383.0,
2018-09-09,56874984.6776413,,468243443.824087
2018-09-11,,474061.0,
2018-09-13,51641090.3821529,,1248849239.09691
2018-09-15,,427958.0,
2018-09-17,47105048.6593962,,572850819.087677
2018-09-19,,480228.0,
2018-09-21,51200543.8778585,,984934175.352113
2018-09-23,,401264.0,
2018-09-25,60089527.1899868,,852085846.884051
2018-09-27,,481908.0,
2018-09-29,54045018.5377396,,463385867.587157
2018-10-01,,484983.0,
2018-10-03,51556103.2103437,,739357175.753423
2018-10-05,,533087.0,
2018-10-07,52623567.2251537,,250377608.065456
2018-10-09,,463257.0,
2018-10-11,58923571.7521087,,887230191.302002
2018-10-13,,400481.0,
2018-10-15,60035337.2568655,,1406050478.15614
2018-10-17,,490531.0,
2018-10-19,50702736.5834647,,835097399.748975
2018-10-21,,403199.0,
2018-10-23,54987474.8862927,,726527353.625848
2018-10-25,,474715.0,
2018-10-27,48560367.4320507,,380002708.052395
2018-10-29,,495174.0,
2018-10-31,58201028.6134137,,803653185.537381
2018-11-02,,565269.0,
2018-11-04,44285199.6469399,,525975032.809028
2018-11-06,,519342.0,
2018-11-08,43213783.5264494,,773348007.473165
2018-11-10,,448643.0,
2018-11-12,49999418.9562224,,752483811.281994
2018-11-14,,524970.0,
2018-11-16,44946674.6331138,,1082196428.0914
2018-11-18,,393876.0,
2018-11-20,43657349.0874779,,1475820951.9215
2018-11-22,,467175.0,
2018-11-24,47295461.5114344,,398983130.753916
2018-11-26,,469613.0,
2018-11-28,39027024.1842606,,807058144.18961
2018-11-30,,460123.0,
2018-12-02,37704074.2119128,,348205860.313343
2018-12-04,,492965.0,
2018-12-06,37892374.8161739,,1426379105.59656
2018-12-08,,382550.0,
2018-12-10,34804847.9793004,,526990901.514102
2018-12-12,,439270.0,
2018-12-14,40979901.6530473,,523412561.153412
2018-12-16,,364388.0,
2018-12-18,35766529.4260719,,717156551.783183
2018-12-20,,475406.0,
2018-12-22,44422290.5748598,,303876048.573279
2018-12-24,,419725.0,
2018-12-26,39853140.68716,,422281688.50925
2018-12-28,,485694.0,
2018-12-30,44676132.2352876,,267240600.175454
2019-01-01,,310120.0,
2019-01-03,43291796.7608921,,586335098.627541
2019-01-05,,385489.0,
2019-01-07,39381569.9566825,,622810992.785056
2019-01-09,,463346.0,
2019-01-11,41336683.3587873,,1080849631.24838
2019-01-13,,372207.0,
2019-01-15,38609293.9848521,,1270645847.43182
2019-01-17,,462879.0,
2019-01-19,38901788.6362525,,310087042.05763
2019-01-21,,449404.0,
2019-01-23,42704219.1044576,,538919234.425191
2019-01-25,,492261.0,
2019-01-27,40071767.241854,,223512708.830142
2019-01-29,,480702.0,
2019-01-31,44802503.958942,,574609830.720808
2019-02-02,,418174.0,
2019-02-04,42490116.6578353,,353232913.224304
2019-02-06,,482655.0,
2019-02-08,47114891.2600487,,552614639.038452
2019-02-10,,380922.0,
2019-02-12,38568926.138295,,494313528.417058
2019-02-14,,473265.0,
2019-02-16,45197960.3183144,,363956258.170098
2019-02-18,,508261.0,
2019-02-20,39171565.6092058,,696700438.735942
2019-02-22,,542172.0,
2019-02-24,41298258.2978092,,436413535.328223
2019-02-26,,532149.0,
2019-02-28,45274965.6436762,,936111689.337251
2019-03-02,,481021.0,
2019-03-04,41351135.2878909,,510664925.146437
2019-03-06,,524992.0,
2019-03-08,44067633.2265115,,621749744.798023
2019-03-10,,392557.0,
2019-03-12,43141131.5892332,,634318677.206897
2019-03-14,,551001.0,
2019-03-16,49174856.287028,,360840832.093826
2019-03-18,,533680.0,
2019-03-20,48571483.8172485,,649248713.708245
2019-03-22,,550986.0,
2019-03-24,47490106.9905989,,288672589.988115
2019-03-26,,522961.0,
2019-03-28,46298790.8217788,,625086884.886481
2019-03-30,,513840.0,
2019-04-01,43127640.7654926,,640470349.712981
2019-04-03,,626468.0,
2019-04-05,50104170.8893222,,898533778.471696
2019-04-07,,447559.0,
2019-04-09,41949459.1204562,,877070582.095037
2019-04-11,,620631.0,
2019-04-13,42902855.9186484,,423377389.265318
2019-04-15,,576183.0,
2019-04-17,43856252.7168405,,896458088.041183
2019-04-19,,597098.0,
2019-04-21,51199133.0238072,,360713964.469088
2019-04-23,,548492.0,
2019-04-25,45160953.3019234,,826381786.755593
2019-04-27,,460846.0,
2019-04-29,51477170.5469476,,886065657.844522
2019-05-01,,565408.0,
2019-05-03,48003251.0621843,,858064130.790705
2019-05-05,,460613.0,
2019-05-07,42312167.3509307,,1041193668.85865
2019-05-09,,619054.0,
2019-05-11,43311667.3670944,,890773875.557915
2019-05-13,,648734.0,
2019-05-15,49641834.1361313,,1595050697.09695
2019-05-17,,676115.0,
2019-05-19,54326123.0260958,,776463133.467301
2019-05-21,,657474.0,
2019-05-23,52659677.5344978,,1180520164.76067
2019-05-25,,511153.0,
2019-05-27,55659279.4193742,,1318870008.46283
2019-05-29,,680323.0,
2019-05-31,43386260.5763838,,2139391264.47921
2019-06-02,,489569.0,
2019-06-04,57106701.9552403,,2210912218.37581
2019-06-06,,602273.0,
2019-06-08,45982019.7561675,,537539563.516134
2019-06-10,,607094.0,
2019-06-12,48577778.9359511,,1164520570.45808
2019-06-14,,731367.0,
2019-06-16,47882020.4805591,,1037160332.21346
2019-06-18,,696937.0,
2019-06-20,53038545.7630809,,1190905553.64237
2019-06-22,,643642.0,
2019-06-24,65193212.5004535,,1758426569.15256
2019-06-26,,768792.0,
2019-06-28,64293187.5738079,,2653064698.96847
2019-06-30,,497075.0,
2019-07-02,62321003.9058997,,1813299811.70937
2019-07-04,,603018.0,
2019-07-06,70209738.5775326,,639979717.955877
2019-07-08,,622449.0,
2019-07-10,58125055.9333793,,3158872124.78143
2019-07-12,,637928.0,
2019-07-14,65334365.1964341,,880311916.429513
2019-07-16,,595749.0,
2019-07-18,54520401.3018519,,1363791605.47841
2019-07-20,,488968.0,
2019-07-22,71191928.9726661,,1027285548.46237
2019-07-24,,490408.0,
2019-07-26,74380911.3910783,,993970297.737923
2019-07-28,,391947.0,
2019-07-30,63627044.6839344,,1280347893.44335
2019-08-01,,558918.0,
2019-08-03,77517455.8473286,,533502020.952203
2019-08-05,,583599.0,
2019-08-07,75945274.2994312,,1528500615.47788
2019-08-09,,562840.0,
2019-08-11,75945274.2994312,,577446710.735718
2019-08-13,,566410.0,
2019-08-15,77930771.6667366,,1574111185.79898
2019-08-17,,441149.0,
2019-08-19,82514504.7903757,,1023246904.67013
2019-08-21,,599152.0,
2019-08-23,77452265.232684,,2130991479.93793
2019-08-25,,393555.0,
2019-08-27,68340234.0288388,,1295831266.79679
2019-08-29,,545362.0,
2019-08-31,84033176.6576833,,536730722.744341
2019-09-02,,529944.0,
2019-09-04,72825124.7697365,,1356552610.12157
2019-09-06,,601748.0,
2019-09-08,94779757.9723776,,734442315.886497
2019-09-10,,564563.0,
2019-09-12,84605659.6589586,,1811962087.02676
2019-09-14,,491282.0,
2019-09-16,96346803.0777296,,1523428331.69289
2019-09-18,,578686.0,
2019-09-20,89253786.9002281,,1752366741.2845
2019-09-22,,456990.0,
2019-09-24,92800294.9889788,,3139283339.2161
2019-09-26,,554702.0,
2019-09-28,100852756.01995,,580178846.7763
2019-09-30,,540376.0,
2019-10-02,93875521.3267456,,753518693.099858
2019-10-04,,545609.0,
2019-10-06,94509815.3897642,,437929223.289477
2019-10-08,,534935.0,
2019-10-10,103681264.292523,,1061857762.2837
2019-10-12,,452069.0,
2019-10-14,87295825.4578357,,1712938625.03762
2019-10-16,,545056.0,
2019-10-18,103461719.061139,,1046146449.48076
2019-10-20,,437713.0,
2019-10-22,109281440.758328,,996706690.858345
2019-10-24,,515253.0,
2019-10-26,95285003.0093039,,1256366630.61245
2019-10-28,,540579.0,
2019-10-30,91201360.0231908,,933497841.255334
2019-11-01,,563151.0,
2019-11-03,93923788.6805996,,791930340.104973
2019-11-05,,576664.0,
2019-11-07,91737090.3690835,,1410260957.176
2019-11-09,,519291.0,
2019-11-11,95479548.6213797,,718863061.19166
2019-11-13,,555616.0,
2019-11-15,99905752.8621059,,1199132985.11859
2019-11-17,,430853.0,
2019-11-19,92950289.0552504,,923399726.065324
2019-11-21,,584765.0,
2019-11-23,111568229.030169,,1151153475.67428
2019-11-25,,495578.0,
2019-11-27,89641525.0589222,,1513433741.15035
2019-11-29,,543960.0,
2019-12-01,89641525.0589222,,410180206.361161
2019-12-03,,565368.0,
2019-12-05,93386357.4980277,,829793365.229581
2019-12-07,,465570.0,
2019-12-09,94736471.2539258,,984541456.77168
2019-12-11,,521113.0,
2019-12-13,97296916.4229509,,910737705.988904
2019-12-15,,434034.0,
2019-12-17,90255692.208132,,1699726138.74945
2019-12-19,,539310.0,
2019-12-21,113287340.369223,,484021776.662792
2019-12-24,,493086.0,
2019-12-25,82390792.9957983,,863528900.789981
2019-12-28,,490465.0,
2019-12-29,99770100.8933494,,381265550.855148
2020-01-01,,389706.0,
2020-01-02,96717718.3123778,,692062815.85965
2020-01-05,,459065.0,
2020-01-06,92602070.7246171,,962060777.656326
2020-01-09,,553318.0,
2020-01-10,102205248.429392,,1280612805.31253
2020-01-13,,501600.0,
2020-01-14,99607271.2200415,,2900956206.90936
2020-01-17,,562153.0,
2020-01-18,96958912.29362,,691951125.418206
2020-01-21,,544525.0,
2020-01-22,114587805.437915,,1252987750.19963
2020-01-25,,461312.0,
2020-01-26,105038821.651422,,375372746.97924
2020-01-29,,573372.0,
2020-01-30,119936535.919975,,1703649922.19753
2020-02-02,,501222.0,
